Count,Company,PX_LAST,CUR_MKT_CAP,AVERAGE_DIVIDEND_YIELD,IS_EPS,PE_RATIO,PX_TO_BOOK_RATIO,EQY_DPS,CUR_RATIO,QUICK_RATIO,TOT_DEBT_TO_TOT_EQY,return_quarter,return_year,ten_percent_or_greater
1,A US EQUITY,30.1624,14662.8315,0.3315,0.73,9.9062,2.2229,0,3.2752,2.6185,46.0741,-0.006825882,-0.017545023,0
2,A US EQUITY,27.3807,13305.8089,0.7304,0.7,9.4253,1.9622,0.1,2.0148,1.3746,45.434,-0.092224094,0.168187811,1
3,A US EQUITY,25.736,12540.4677,1.1657,1.22,10.4614,1.7184,0.1,2.4453,1.7295,45.5545,-0.060067858,0.410390115,1
4,A US EQUITY,32.0216,15580.5073,1.3116,0.52,13.8895,2.0777,0.22,2.5525,1.8007,44.1226,0.244233758,0.29857034,1
5,A US EQUITY,29.6332,14386.2815,1.8223,0.48,13.619,1.9271,0.12,2.5252,1.8003,44.3858,-0.074587154,0.304054236,1
6,A US EQUITY,31.9858,15408.4134,1.7508,0.5,15.7148,2.2117,0.12,2.9574,2.0677,56.3883,0.079390683,0.253968949,1
7,A US EQUITY,36.2978,16791.0015,1.5979,0.64,15.2449,2.2866,0.12,3.1105,2.231,51.0304,0.134809822,0.089046719,0
8,A US EQUITY,41.5823,19294.6644,1.1832,0.59,19.3643,2.5512,0.132,3.275,2.3183,49.4768,0.145587336,-0.075087237,0
9,A US EQUITY,38.6433,18018.0456,1.3042,0.42,22.1376,2.2873,0.132,3.128,2.2414,47.8415,-0.070679111,0.070560744,0
10,A US EQUITY,40.1092,18692.6036,1.2865,0.44,26.8535,2.3694,0.132,3.0614,2.0785,39.2908,0.037934131,0.020962772,0
11,A US EQUITY,39.53,18436.5835,1.3357,0.07,37.6118,2.4981,0.132,3.2559,1.6809,31.3537,-0.014440577,-0.046293954,0
12,A US EQUITY,38.46,12916.6633,1.3729,0.19,36.5937,2.4305,0.1,3.9375,2.945,39.1038,-0.02706805,-0.021060842,0
13,A US EQUITY,41.37,13892.4722,1.1216,0.26,36.0576,3.3132,0.1,3.8925,2.9817,39.7981,0.075663027,-0.0045927,0
14,A US EQUITY,40.95,13644.2018,1.0549,0.33,33.101,3.3135,0.1,4.0774,3.1172,40.3069,-0.010152284,0.174847375,1
15,A US EQUITY,37.7,12493.9017,1.1459,0.42,30.4739,3.0505,0.1,3.7766,2.6732,39.6882,-0.079365079,0.155702918,1
16,A US EQUITY,37.65,12340.4987,1.0624,0.37,25.782,2.9997,0.115,3.5892,2.6906,42.8113,-0.00132626,0.300664011,1
17,A US EQUITY,41.18,13497.5719,1.0078,0.28,27.2693,3.3392,0.115,3.0786,2.4192,45.3541,0.0937583,0.336813987,1
18,A US EQUITY,48.11,15660.8489,0.8938,0.38,31.4484,3.7568,0.115,3.0669,2.4231,43.4192,0.168285576,0.242776969,1
19,A US EQUITY,43.57,14133.4442,1.0558,0.38,26.9885,3.3271,0.115,3.8466,3.0899,44.8422,-0.094367075,0.561395456,1
20,AA US EQUITY,19.0586,9077.6426,1.8889,-0.0056,12.2098,0.481,0.09,1.2627,0.5344,56.4148,-0.151544561,-0.081081507,0
21,AA US EQUITY,19.8313,9447.3327,1.8153,-0.39,25.6917,0.5185,0.09,1.1905,0.4672,56.5088,0.040543377,-0.083005148,0
22,AA US EQUITY,19.4393,9296.3764,1.8519,0.69,57.9296,0.5261,0.09,1.2959,0.5486,53.4346,-0.019766732,0.224658295,1
23,AA US EQUITY,18.1852,8684.7563,1.9796,0.06,17.2317,0.5065,0.09,1.1671,0.4038,52.5971,0.038365128,0.981523437,1
24,AA US EQUITY,23.8065,11384.8481,1.5122,-6.57,23.0641,0.8065,0.09,1.1415,0.4354,61.522,0.309114005,0.485417848,1
25,AA US EQUITY,28.8231,13873.8113,1.249,-0.48,33.1054,0.9926,0.09,1.2844,0.3881,53.8959,0.210723962,0.003882303,0
26,AA US EQUITY,33.347,17455.3023,1.0796,0.36,26.7293,1.0229,0.09,1.2645,0.4389,54.7736,0.156953971,-0.251177017,0
27,AA US EQUITY,36.0344,18948.2435,0.999,0.39,17.59,1.1465,0.09,1.8097,0.8876,59.3855,0.080588959,-0.399626468,0
28,AA US EQUITY,35.3626,19204.6164,1.018,0.36,12.2559,1.3036,0.09,1.4923,0.5905,59.8351,-0.018643296,-0.374921527,0
29,AA US EQUITY,28.935,15791.8044,1.2442,0.45,8.261,1.0235,0.09,1.5249,0.5253,63.6928,-0.181762653,-0.25851391,0
30,AA US EQUITY,24.971,13629.5575,1.4417,0.3,7.0935,0.8301,0.09,1.5038,0.5511,60.0424,-0.136996717,-0.168607585,0
31,AAL US EQUITY,36.6,17257.5255,0,0.66,11.9365,21.7245,0,1.0076,0.7741,1735.7991,0.44950495,0.442076503,1
32,AAL US EQUITY,42.96,30939.63,0,1.2,12.9767,7.5753,0,0.9919,0.7582,419.5546,0.173770492,-0.070414339,0
33,AAL US EQUITY,35.48,25549.2489,0.5637,1.31,10.5992,5.1194,0.2,0.9685,0.71,348.6019,-0.174115456,0.094419391,0
34,AAL US EQUITY,53.63,38466.8442,0.5594,0.84,9.3941,18.5084,0.1,0.8766,0.677,876.7937,0.511555806,-0.210330039,0
35,AAL US EQUITY,52.78,36769.1786,0.7579,1.34,7.5969,13.2485,0.1,0.9927,0.7728,684.5876,-0.015849338,-0.223001137,0
36,AAL US EQUITY,39.935,27666.9212,1.252,2.47,5.0079,7.4498,0.1,0.9378,0.7186,516.8867,-0.2433687,-0.291098034,0
37,AAL US EQUITY,38.83,26086.7922,1.0301,2.56,4.2792,6.607,0.1,0.9679,0.7557,546.5444,-0.027669964,-0.057172289,0
38,AAL US EQUITY,42.35,26694.2875,0.9445,5.24,4.7224,4.6944,0.1,0.7339,0.5644,364.8802,0.090651558,0.115702479,1
39,AAL US EQUITY,41.01,24729.7684,0.9754,1.15,4.7503,5.0993,0.1,0.7071,0.5485,461.6561,-0.031641086,0.031455743,0
40,AAL US EQUITY,28.31,16368.0423,1.4129,1.69,3.2429,3.5265,0.1,0.7497,0.584,529.8237,-0.309680566,0.777463794,1
41,AAL US EQUITY,36.61,19400.1292,1.0926,1.4,4.7616,4.3285,0.1,0.7602,0.582,531.6101,0.293182621,0.297186561,1
42,AAL US EQUITY,47.25,24481.4149,0.8466,0.56,6.1455,5.5865,0.1,0.7442,0.5733,643.1704,0.290630975,0.101164021,1
43,AAP US EQUITY,72.35,5307.8925,0.3317,0.89,13.8418,4.3853,0.06,1.244,0.2767,49.9786,0.057130333,0.529785764,1
44,AAP US EQUITY,170.28,12541.7393,0.1409,0.84,24.0575,4.3918,0.06,1.4072,0.1476,35.7746,0.141899142,-0.414552502,0
45,AAPL US EQUITY,81.2929,532097.0378,0,1.3457,13.8759,5.1908,0,1.5712,1.0681,0,-0.066916964,-0.308004758,0
46,AAPL US EQUITY,97.3314,638673.4599,0,1.2514,16.016,5.7145,0.3786,1.4958,1.0394,0,0.197292753,-0.286355688,0
47,AAPL US EQUITY,73.58,484512.8301,0.5145,1.99,11.6635,4.0923,0.3786,1.5433,1.0968,0,-0.24402608,0.094823322,0
48,AAPL US EQUITY,63.2371,415683.4069,1.1973,1.4514,10.0376,3.2639,0.3786,1.7837,1.3017,0,-0.14056673,0.214160675,1
49,AAPL US EQUITY,56.2543,369621.198,2.0189,1.0729,9.4003,2.7322,0.4357,1.8783,1.4165,13.7474,-0.110422521,0.615876475,1
50,AAPL US EQUITY,69.46,441729.4159,2.2624,1.1871,12.1434,3.5808,0.4357,1.6786,1.2288,13.7273,0.234750055,0.409012381,1
51,AAPL US EQUITY,76.78,479408.4153,2.1955,1.67,13.3339,3.6986,0.4357,1.6326,1.1815,14.1139,-0.046887239,0.618129721,1
52,AAPL US EQUITY,90.9,548096.7296,1.9173,1.29,15.2249,4.5626,0.47,1.4706,1.0517,25.6656,0.183902058,0.402640264,1
53,AAPL US EQUITY,97.87,586032.5616,1.8158,1.43,15.8418,4.8467,0.47,1.0801,0.6704,31.6414,0.076677668,0.175028098,1
54,AAPL US EQUITY,127.5,734531.2976,1.4745,1.86,15.7798,5.695,0.52,1.0868,0.6904,43.2999,0.026239536,-0.24627451,0
55,AAPL US EQUITY,115,655813.0493,1.6783,1.97,13.2861,5.2207,0.52,1.1088,0.7251,53.8964,-0.098039216,-0.003304348,0
56,AAPL US EQUITY,108.03,602303.0138,1.8328,3.3,11.7292,5.0494,0.52,1.0017,0.6706,49.0875,-0.060608696,0.080533185,0
57,AAPL US EQUITY,105.67,585896.0864,1.9211,1.91,11.2684,4.5677,0.52,1.2831,0.989,61.2248,-0.021845784,0.362070597,1
58,AAPL US EQUITY,96.1,526380.5237,2.1644,1.43,10.7371,4.0356,0.57,1.3116,1.0278,67.1205,-0.090564966,0.495109261,1
59,AAPL US EQUITY,114.62,617623.3219,1.8583,1.68,13.457,4.8851,0.57,1.3527,1.0494,67.8617,0.192715921,0.337288431,1
60,AAPL US EQUITY,116.73,622440.8951,1.8676,3.38,14.2071,4.8569,0.57,1.2282,0.8856,66.1296,0.018408655,0.465604386,1
61,ABBV US EQUITY,44.73,70916.2262,2.6828,0.6,14.3112,19.8548,0.4,2.4063,1.9482,404.2494,0.082002903,0.291303376,1
62,ABBV US EQUITY,52.81,84013.4125,3.0297,0.7,18.1259,18.6617,0.4,2.5946,1.9987,327.7605,0.180639392,0.23915925,1
63,ABBV US EQUITY,51.4,82036.9788,3.1128,0.61,17.3568,17.4003,0.4,2.7878,2.0512,306.7064,-0.026699489,0.138910506,1
64,ABBV US EQUITY,56.44,89831.2254,2.8703,0.69,19.0496,17.2165,0.42,2.8168,2.2052,282.5029,0.098054475,0.190467753,1
65,ABBV US EQUITY,57.76,92026.6418,2.8393,0.32,18.9382,19.8121,0.42,2.6458,1.7061,318.4499,0.023387668,-0.057998615,0
66,ABBV US EQUITY,65.44,104275.4926,2.6436,-0.51,20.5474,59.7822,0.49,1.4115,1.0628,859.7589,0.132963989,-0.094743276,0
67,ABBV US EQUITY,58.54,93204.2052,3.1431,0.64,17.0764,67.726,0.51,1.3944,1.0985,1109.1503,-0.105440098,-0.024256918,0
68,ABBV US EQUITY,67.19,117583.394,2.8725,0.84,18.0994,20.2068,0.51,1.4991,1.1233,565.4615,0.147762214,-0.078583122,0
69,ABBV US EQUITY,54.41,90063.5871,3.7126,0.75,13.809,18.2905,0.51,2.0325,1.5685,660.6416,-0.190206876,0.159161919,1
70,ABBV US EQUITY,59.24,96842.4092,3.5449,0.93,14.4875,24.1749,0.57,1.4975,1.2059,802.8137,0.088770447,0.058912897,0
71,ABBV US EQUITY,57.12,92405.0363,3.7815,0.83,13.5396,19.8974,0.57,1.559,1.2524,687.3358,-0.035786631,0.140756303,1
72,ABBV US EQUITY,61.91,100130.6736,3.5859,0.99,14.3335,17.8764,0.57,1.8109,1.4075,671.0106,0.083858543,0.171216282,1
73,ABBV US EQUITY,63.07,102712.1665,3.615,0.97,14.5051,15.8422,0.57,1.7895,1.4225,576.7507,0.018736876,0.410496274,1
74,ABBV US EQUITY,62.73,101942.4602,3.6346,0.85,14.4269,15.7568,0.64,1.6549,1.1431,794.6937,-0.005390836,0.541686593,1
75,ABC US EQUITY,38.74,9799.783,1.2648,0.72,14.0125,3.3583,0.13,1.02,0.5113,64.0326,-0.011734694,0.441146102,1
76,ABC US EQUITY,38.71,9740.8645,1.3046,0.67,13.6795,3.319,0.13,0.9816,0.4306,56.8644,-0.000774393,0.578403513,1
77,ABC US EQUITY,43.18,10167.8404,1.3895,0.73,13.3931,4.2477,0.21,0.9638,0.4179,59.7333,0.115474038,0.628300139,1
78,ABC US EQUITY,61.1,14108.1808,1.3748,0.22,29.0818,6.0578,0.21,0.9679,0.4898,60.2052,0.094393695,0.265139116,1
79,ABC US EQUITY,70.31,16173.5562,1.2303,0.18,45.2082,7.2097,0.235,0.9621,0.4145,80.958,0.150736498,0.282321149,1
80,ABC US EQUITY,65.59,15033.3039,1.3569,0.78,44.9597,6.9555,0.235,0.9552,0.4366,65.1101,-0.067131276,0.733038573,1
81,ABC US EQUITY,72.66,16409.5275,1.2593,-0.06,61.6696,8.2043,0.235,0.9726,0.4526,100.4595,0.107790822,0.463528764,1
82,ABC US EQUITY,77.3,17344.7006,1.216,0.3,61.9195,8.7657,0.235,0.9739,0.4708,101.9793,0.06385907,0.228848642,1
83,ABC US EQUITY,90.16,19717.2585,1.1036,-0.91,497.5635,11.1832,0.29,0.9683,0.4539,150.9543,0.166364812,0.150288376,1
84,ABC US EQUITY,103.71,21326.1932,1.1667,1.6,55.7635,16.459,0.34,0.8475,0.3896,391.8621,0.091799137,-0.234982162,0
85,ABC US EQUITY,86.55,19510.5327,1.4558,2.9,12.5232,8.848,0.34,0.9284,0.475,204.8292,-0.165461383,0.022530329,0
86,ABC US EQUITY,79.32,17121.5989,1.6515,1.62,10.5998,9.0596,0.34,0.8942,0.4521,234.5116,-0.083535529,0.191754917,1
87,ABC US EQUITY,80.78,19216.8749,1.6836,0.66,12.5839,8.3477,0.34,0.9039,0.4714,196.6138,0.018406455,0.002599653,0
88,ABC US EQUITY,79.34,17263.6763,1.7141,1.13,12.3596,8.1989,0.365,0.9035,0.4497,247.6664,-0.017826195,0.157297706,1
89,ABMD US EQUITY,21.91,862.8881,0,0.08,1612.8082,6.813,0,5.953,5.2087,0,-0.012173129,-0.015974441,0
90,ABMD US EQUITY,20.99,829.6864,0,0.14,98.2747,6.3519,0,6.2952,5.4703,0,-0.041989959,-0.091948547,0
91,ABMD US EQUITY,13.44,533.1729,0,0.07,37.9037,3.841,0,5.2386,4.5368,0,-0.359695093,0.989583333,1
92,ABMD US EQUITY,19.06,748.7179,0,0.03,72.4368,4.9897,0,4.6001,3.8339,0,-0.115955473,0.302728227,1
93,ABMD US EQUITY,26.74,1054.9945,0,0.11,89.2979,6.6269,0,4.5292,3.8787,0,0.40293809,0.423335826,1
94,ABMD US EQUITY,26.04,1036.8614,0,0.09,91.7913,6.1741,0,3.8791,3.3191,0,-0.02617801,1.748847926,1
95,ABMD US EQUITY,25.14,1003.7623,0,-0.04,93.8617,5.9571,0,4.3907,3.7952,0,-0.034562212,1.614558473,1
96,ABMD US EQUITY,24.83,1004.7083,0,0.09,80.3882,5.7397,0,4.986,4.3685,0,-0.012330947,2.735803464,1
97,ABMD US EQUITY,38.06,1556.4514,0,0.31,77.9963,7.9884,0,5.1129,4.5151,0,0.532823198,1.372044141,1
98,ABMD US EQUITY,71.58,2942.4182,0,2.4,109.1601,10.1482,0,4.7061,4.1656,0,0.880714661,0.324531992,1
99,ABMD US EQUITY,65.73,2743.3765,0,0.21,75.341,8.9657,0,6.728,5.2171,0,-0.081726739,0.662711091,1
100,ABMD US EQUITY,92.76,3900.9376,0,0.18,98.0262,11.8837,0,7.7036,6.1717,0,0.41122775,0.386157827,1
101,ABMD US EQUITY,90.28,3829.4491,0,0.25,103.0267,11.0881,0,7.4793,6.1862,0,-0.026735662,0.258085955,1
102,ABMD US EQUITY,94.81,4023.4856,0,0.26,112.869,10.9513,0,6.1965,5.4763,0,0.050177226,0.320535808,1
103,ABMD US EQUITY,109.29,4698.5736,0,0.3,117.5161,12.457,0,6.9481,6.1189,0,0.152726506,0.311190411,1
104,ABMD US EQUITY,128.58,5533.3554,0,0.21,133.9375,13.9841,0,6.1606,5.3841,4.1916,0.176502882,0.262560274,1
105,ABMD US EQUITY,113.58,4927.2132,0,0.36,118.3125,12.3527,0,5.6636,4.9411,3.958,-0.116658889,0.650026413,1
106,ABT US EQUITY,30.1008,98982.058,6.4782,1.09,7.5635,1.8606,0.51,1.5337,1.0379,73.6068,0.031651318,0.158773189,1
107,ABT US EQUITY,32.8041,107593.5212,6.0358,1.22,8.035,2.1319,0.51,1.6741,1.1331,60.0628,0.089808244,0.011763773,0
108,ABT US EQUITY,31.34,103533.736,5.3287,0.66,10.171,1.8492,0.14,2.3587,1.7159,76.3659,-0.044631616,0.223037652,1
109,ABT US EQUITY,33.19,51581.4209,1.6873,0.62,25.3017,2.2182,0.14,1.7428,1.1021,34.7359,-0.048451835,0.25308828,1
110,ABT US EQUITY,38.33,59265.2967,1.461,0.37,27.9994,2.3574,0.14,2.0245,1.2711,25.9667,0.154865923,0.174536916,1
111,ABT US EQUITY,38.51,59423.6377,1.6619,0.24,33.2178,2.555,0.22,1.7604,1.073,33.058,0.004696061,0.203064139,1
112,ABT US EQUITY,40.9,61429.2887,1.7604,0.31,35.7575,2.6921,0.22,1.853,1.1284,31.0707,0.062061802,0.2,1
113,ABT US EQUITY,41.59,62538.8404,1.9235,0.36,33.163,2.7362,0.22,1.5212,0.7849,36.1023,0.016870416,-0.032940611,0
114,ABT US EQUITY,45.02,67790.6895,1.9547,0.59,32.4898,3.1539,0.22,1.2951,0.7687,36.1847,0.082471748,-0.002443359,0
115,ABT US EQUITY,46.33,69910.9407,1.9426,1.52,27.864,3.1532,0.24,2.1709,1.448,40.4903,0.029098179,-0.09712929,0
116,ABT US EQUITY,49.08,73068.2095,1.8745,0.52,26.6683,3.1794,0.24,2.3006,1.6037,37.8838,0.059356788,-0.199062755,0
117,ABT US EQUITY,40.22,59945.5534,2.3371,0.39,21.2289,2.842,0.24,1.8154,1.0964,39.3751,-0.180521597,0.051466932,0
118,ABT US EQUITY,44.91,66993.1384,2.1821,0.51,23.5027,3.1181,0.26,1.5409,1.0389,42.2067,0.116608652,-0.146960588,0
119,ABT US EQUITY,41.83,61625.7054,2.3906,0.21,27.2393,2.9657,0.26,1.4781,0.8801,41.2149,-0.068581608,0.061678221,0
120,ABT US EQUITY,39.31,57752.3642,2.5948,0.41,26.461,2.7949,0.26,1.4975,0.923,42.8565,-0.060243844,0.236581023,1
121,ABT US EQUITY,42.29,62166.1038,2.4592,-0.22,35.6033,2.9969,0.26,1.5597,0.9406,40.7255,0.075807683,0.268384961,1
122,ABT US EQUITY,38.31,56404.1796,2.7147,0.53,32.2526,2.7149,0.265,4.0204,3.3068,106.2219,-0.094112083,0.489689376,1
123,ACHC US EQUITY,23.83,994.4545,0,0.15,29.2559,4.0369,0,1.5052,1.15,116.9855,0.390315053,0.654637012,1
124,ACHC US EQUITY,23.35,1177.0735,0,0.1,36.0839,2.693,0,1.9621,1.5764,109.425,-0.020142677,1.026980728,1
125,ACHC US EQUITY,39.43,1991.7584,0,0.29,39.8442,4.2294,0,1.4108,0.9612,125.4488,0.192319323,0.230027898,1
126,ACHC US EQUITY,47.33,2391.2088,0,0.25,43.3746,4.9299,0,1.2654,0.8759,128.3801,0.20035506,0.293260089,1
127,ACHC US EQUITY,45.12,2281.1523,0,0.26,39.1853,4.5668,0,1.604,1.1422,133.6684,-0.046693429,0.586879433,1
128,ACHC US EQUITY,45.5,2664.4993,0,0.43,38.485,3.0069,0,4.3793,3.7856,63.365,0.008421986,0.721538462,1
129,ACHC US EQUITY,48.5,2901.0509,0,0.43,35.9679,3.2376,0,1.6125,1.2097,116.1008,0.065934066,0.366391753,1
130,ACHC US EQUITY,61.21,3667.616,0,0.38,47.0098,4.1141,0,1.6521,1.2801,122.5514,0.262061856,0.0204215,0
131,ACHC US EQUITY,71.6,4758.035,0,0.23,49.668,3.7443,0,1.4106,0.9146,164.3472,0.169743506,-0.230307263,0
132,ACHC US EQUITY,78.33,5556.3384,0,0.5,45.7322,3.3186,0,1.3406,0.8921,117.2179,0.093994413,-0.292735861,0
133,ACHC US EQUITY,66.27,4747.3906,0,0.42,39.6099,2.8053,0,1.4304,1.0045,127.099,-0.153963998,-0.252301192,0
134,ACHC US EQUITY,62.46,4477.6608,0,0.59,33.8575,2.6255,0,1.0156,0.7851,132.5035,-0.057492078,-0.461895613,0
135,ACHC US EQUITY,55.11,4806.6686,0,0.31,29.139,1.8609,0,0.962,0.7668,138.753,-0.117675312,-0.208855017,0
136,ACHC US EQUITY,55.4,4843.4876,0,0.65,30.0839,1.9686,0,0.9346,0.7524,149.1038,0.005262203,-0.10866426,0
137,ACHC US EQUITY,49.55,4331.5033,0,-1.36,25.432,1.915,0,1.0334,0.803,161.993,-0.105595668,-0.042785066,0
138,ACHC US EQUITY,33.61,2940.8978,0,0.48,17.2507,1.299,0,1.2481,0.9344,150.4389,-0.321695257,-0.029157989,0
139,ACM US EQUITY,15.98,1804.265,0,0.63,6.9885,0.7277,0,1.5195,1.4371,42.6094,-0.287561302,0.989361702,1
140,ACM US EQUITY,21.16,2392.7071,0,-2.05,9.2135,0.9472,0,1.5143,1.4384,48.0889,0.324155194,0.47778828,1
141,ACM US EQUITY,23.8,2572.2706,0,0.36,10.3303,1.1721,0,1.4592,1.3762,58.4438,0.124763705,0.236554622,1
142,ACM US EQUITY,31.27,3152.1428,0,0.78,12.7409,1.4853,0,1.5033,1.4127,57.9982,-0.016357345,0.079309242,0
143,ACM US EQUITY,29.43,2889.9116,0,0.59,11.2113,1.3843,0,1.5043,1.4316,56.7173,-0.058842341,0.031940197,0
144,ACM US EQUITY,32.17,3186.8288,0,0.41,12.9411,1.4736,0,1.5107,1.4206,49.8155,0.093102277,-0.041964563,0
145,ACM US EQUITY,32.2,3195.8588,0,0.71,12.7954,1.4126,0,1.4996,1.413,46.9191,0.000932546,0.027329193,0
146,ACM US EQUITY,33.75,3357.4393,0,0.65,13.3326,1.4929,0,1.3984,1.3149,44.1798,0.048136646,-0.184888889,0
147,ACM US EQUITY,30.37,4671.5665,0,-0.73,16.366,1.2808,0,1.3824,1.2709,129.6541,-0.100148148,-0.011195258,0
148,ACM US EQUITY,30.82,4791.7571,0,0.0018,15.0575,1.3482,0,1.3416,1.21,130.8277,0.014817254,-0.000973394,0
149,ACM US EQUITY,33.08,4974.4989,0,-0.11,20.6151,1.4349,0,1.3063,0.6847,127.6196,0.073329007,-0.039600967,0
150,ACM US EQUITY,27.51,4153.1314,0,0.01,22.1787,1.2211,0,1.2916,0.7083,126.8799,-0.168379686,0.080697928,0
151,ACM US EQUITY,30.03,4546.7851,0,-0.13,18.4883,1.3812,0,1.2401,0.7124,128.5306,0.091603053,0.211122211,1
152,ACM US EQUITY,30.79,4698.8737,0,0.27,20.0007,1.3614,0,1.1949,0.6604,122.0571,0.025308025,0.155894771,1
153,ACM US EQUITY,31.77,4872.461,0,0.44,17.3142,1.3733,0,1.1675,0.636,114.2586,0.031828516,0.017626692,0
154,ACM US EQUITY,29.73,4569.3358,0,0.05,16.6943,1.359,0,1.1312,0.6398,114.5248,-0.06421152,0.244870501,1
155,ACM US EQUITY,36.37,5599.0748,0,0.31,20.4228,1.6625,0,1.1587,0.6494,115.4551,0.223343424,0.021446247,0
156,ACN US EQUITY,57.1,40224.6645,2.3643,1.07,14.7485,9.5174,0.675,1.509,1.166,0.1183,-0.040980853,0.438003503,1
157,ACN US EQUITY,61.6,42957.8703,2.1916,0.91,16.0321,10.056,0,1.5523,1.1991,0.0007,0.078809107,0.180519481,1
158,ACN US EQUITY,74.36,51780.8336,1.997,1.7,18.83,9.2968,0,1.6315,1.2429,0.0005,0.094817432,0.120898332,1
159,ACN US EQUITY,82.11,56924.9928,1.973,1.25,20.228,10.4374,0.81,1.583,1.2208,0,0.1042227,-0.020582146,0
160,ACN US EQUITY,72.72,49962.7459,2.2277,1.04,17.9147,9.2438,0,1.4513,1.0988,0.4716,-0.114358787,0.114686469,1
161,ACN US EQUITY,80.42,54135.967,2.1636,1.29,18.6406,10.1024,0.93,1.462,1.0315,0.434,-0.035152969,0.194230291,1
162,ACN US EQUITY,81.06,54371.5374,2.2946,1.11,18.2828,9.5483,0,1.4592,1.0767,0.4253,0.007958219,0.162965704,1
163,ACN US EQUITY,86.33,57500.749,2.1545,1.32,19.1707,9.889,1.02,1.4226,1.0144,0.4453,0.06501357,0.241978455,1
164,ACN US EQUITY,90.3,60112.4093,2.1595,1.1,19.3777,10.773,0,1.4689,1.0344,0.4157,0.045986332,0.110299003,1
165,ACN US EQUITY,96.04,63686.6865,2.0304,1.27,20.3907,10.4731,1.02,1.4033,0.9819,0.4209,0.063565891,0.238754686,1
166,ACN US EQUITY,94.27,62227.8954,2.164,1.18,19.5672,9.9911,0,1.2602,0.9662,0.4127,-0.018429821,0.219900286,1
167,ACN US EQUITY,107.22,70247.3727,1.9772,1.31,22.3015,11.7852,1.1,1.2538,0.8424,0.4317,0.13737138,0.113878008,1
168,ACN US EQUITY,100.26,65966.565,2.1145,2.12,19.8359,9.519,0,1.4101,0.9274,0.3886,-0.064913262,0.22182326,1
169,ACN US EQUITY,118.97,77763.1842,1.8492,1.44,23.0262,10.7626,1.1,1.4184,0.9563,0.3747,0.186614802,0.046230142,0
170,ACN US EQUITY,115,74965.3696,1.913,1.72,21.6094,9.7816,0,1.3488,1.0115,0.3325,-0.033369757,0.137043478,1
171,ACN US EQUITY,119.43,77537.0644,1.9342,1.62,21.2442,10.3401,1.21,1.2397,0.9136,0.3402,0.038521739,0.239303358,1
172,ADBE US EQUITY,29.82,14794.483,0,0.45,17.5128,2.415,0,3.0272,2.8319,24.7571,-0.115920546,0.438967136,1
173,ADBE US EQUITY,31.27,15377.4166,0,0.41,18.4268,2.4027,0,3.4283,3.2607,23.4671,0.048625084,0.463063639,1
174,ADBE US EQUITY,34.61,17133.8396,0,0.45,21.1295,2.5659,0,3.4575,3.2676,22.6274,0.106811641,0.64056631,1
175,ADBE US EQUITY,39.83,19866.8413,0,0.13,28.3576,2.9325,0,3.4588,3.2796,22.5031,0.150823461,0.723073061,1
176,ADBE US EQUITY,42.91,21538.0818,0,0.15,36.8893,3.1161,0,3.6033,3.4279,22.0236,0.077328647,0.504078303,1
177,ADBE US EQUITY,45.75,22978.4555,0,0.16,49.5826,3.359,0,2.9238,2.7735,22.2368,0.066185038,0.571584699,1
178,ADBE US EQUITY,56.78,28383.6025,0,0.13,92.3175,4.1902,0,2.6519,2.4734,22.5138,0.241092896,0.297640014,1
179,ADBE US EQUITY,68.63,34081.9642,0,0.09,118.7136,5.1751,0,1.8664,1.7244,22.837,0.208700247,0.152557191,1
180,ADBE US EQUITY,64.54,32123.5225,0,0.18,116.5653,4.8354,0,1.855,1.7411,22.6958,-0.059594929,0.225441587,1
181,ADBE US EQUITY,71.9,35761.2801,0,0.09,149.5524,5.3258,0,1.906,1.8032,22.4067,0.114037806,0.104311544,1
182,ADBE US EQUITY,73.68,36747.0793,0,0.15,141.9473,5.4096,0,1.845,1.7364,22.3485,0.024756606,0.250950054,1
183,ADBE US EQUITY,79.1,39622.9951,0,0.17,132.2588,6.003,0,2.2214,2.0743,28.8604,0.073561346,0.089506953,0
184,ADBE US EQUITY,79.09,39566.2834,0,0.3,110.005,5.9619,0,2.1571,2.0216,28.8101,-0.000126422,0.247945379,1
185,ADBE US EQUITY,79.4,39513.0436,0,0.35,81.7653,5.7879,0,2.1962,2.0683,27.8614,0.003919585,0.30440806,1
186,ADBE US EQUITY,92.17,45974.3358,0,0.45,76.6375,6.5532,0,2.1783,2.1053,27.24,0.160831234,0.08202235,0
187,ADBE US EQUITY,86.18,43194.6453,0,0.51,56.2225,6.0936,0,2.2114,2.1046,27.0693,-0.064988608,0.392898584,1
188,ADBE US EQUITY,98.7,49370.681,0,0.49,57.1067,6.7942,0,2.1959,2.0897,26.4656,0.145277327,0.453698075,1
189,ADBE US EQUITY,103.57,51607.9878,0,0.54,53.8275,7.073,0,2.1626,2.0663,26.3342,0.049341439,0.497151685,1
190,ADBE US EQUITY,99.73,49588.4507,0,0.81,42.9622,6.6388,0,2.077,1.9897,25.4847,-0.037076373,0.800060162,1
191,ADM US EQUITY,29.14,19189.4423,2.2135,0.43,9.2689,1.0479,0.35,1.8429,0.3354,56.8,-0.067818298,0.163692519,1
192,ADM US EQUITY,27.18,17901.4524,3.1089,0.28,10.6146,0.9968,0.175,1.717,0.2702,56.9004,-0.067261496,0.355408389,1
